ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,family_type,fam_lt_lw,families,pct_lt_lw,LL_95CI,UL_95CI,se,rse,family_type_decile,CA_RR,livingwage,version
770,Living wage and percent of families with incomes below the living wage,2010,1,AIAN,CO,6001,Alameda,Alameda,6001,Bay Area,1,MarriedCouple2Children,71,320,22.2,NA,NA,NA,NA,,0.89,22.64,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,2,Asian,CO,6001,Alameda,Alameda,6001,Bay Area,1,MarriedCouple2Children,5735,41863,13.7,NA,NA,NA,NA,,0.55,22.64,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,3,AfricanAm,CO,6001,Alameda,Alameda,6001,Bay Area,1,MarriedCouple2Children,1149,6431,17.9,NA,NA,NA,NA,,0.72,22.64,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,4,Latino,CO,6001,Alameda,Alameda,6001,Bay Area,1,MarriedCouple2Children,9281,25776,36,NA,NA,NA,NA,,1.44,22.64,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,5,NHOPI,CO,6001,Alameda,Alameda,6001,Bay Area,1,MarriedCouple2Children,118,1046,11.3,NA,NA,NA,NA,,0.45,22.64,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,6,White,CO,6001,Alameda,Alameda,6001,Bay Area,1,MarriedCouple2Children,3025,41821,7.2,NA,NA,NA,NA,,0.29,22.64,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,7,Multiple,CO,6001,Alameda,Alameda,6001,Bay Area,1,MarriedCouple2Children,337,2445,13.8,NA,NA,NA,NA,,0.55,22.64,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,8,Other,CO,6001,Alameda,Alameda,6001,Bay Area,1,MarriedCouple2Children,88,398,22.1,NA,NA,NA,NA,,0.89,22.64,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,9,Total,CO,6001,Alameda,Alameda,6001,Bay Area,1,MarriedCouple2Children,19803,120100,16.5,NA,NA,NA,NA,,0.66,22.64,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,,,CO,6001,Alameda,Alameda,6001,Bay Area,1,Adult2_Child1,,,,NA,NA,NA,NA,,,21.3,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,1,AIAN,CO,6001,Alameda,Alameda,6001,Bay Area,1,SingleMother2Children,246,250,98.5,NA,NA,NA,NA,,1.28,26.83,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,2,Asian,CO,6001,Alameda,Alameda,6001,Bay Area,1,SingleMother2Children,2896,4726,61.3,NA,NA,NA,NA,,0.79,26.83,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,3,AfricanAm,CO,6001,Alameda,Alameda,6001,Bay Area,1,SingleMother2Children,10700,12304,87,NA,NA,NA,NA,,1.13,26.83,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,4,Latino,CO,6001,Alameda,Alameda,6001,Bay Area,1,SingleMother2Children,7028,8743,80.4,NA,NA,NA,NA,,1.04,26.83,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,5,NHOPI,CO,6001,Alameda,Alameda,6001,Bay Area,1,SingleMother2Children,203,248,82,NA,NA,NA,NA,,1.06,26.83,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,6,White,CO,6001,Alameda,Alameda,6001,Bay Area,1,SingleMother2Children,4635,8376,55.3,NA,NA,NA,NA,,0.72,26.83,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,7,Multiple,CO,6001,Alameda,Alameda,6001,Bay Area,1,SingleMother2Children,739,1116,66.3,NA,NA,NA,NA,,0.86,26.83,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,8,Other,CO,6001,Alameda,Alameda,6001,Bay Area,1,SingleMother2Children,206,227,90.7,NA,NA,NA,NA,,1.18,26.83,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,9,Total,CO,6001,Alameda,Alameda,6001,Bay Area,1,SingleMother2Children,26654,35990,74.1,NA,NA,NA,NA,,0.96,26.83,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,,,CO,6001,Alameda,Alameda,6001,Bay Area,1,Adults2,,,,NA,NA,NA,NA,,,17.38,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,,,CO,6001,Alameda,Alameda,6001,Bay Area,1,Adult1,,,,NA,NA,NA,NA,,,11.51,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,,,CO,6001,Alameda,Alameda,6001,Bay Area,1,Adult1_Child1,,,,NA,NA,NA,NA,,,23.22,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,,,CO,6001,Alameda,Alameda,6001,Bay Area,1,Adult1_Children2,,,,NA,NA,NA,NA,,,26.83,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,,,CO,6001,Alameda,Alameda,6001,Bay Area,1,Adult1_Children3,,,,NA,NA,NA,NA,,,33.67,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,,,CO,6001,Alameda,Alameda,6001,Bay Area,1,Adults2_Children2,,,,NA,NA,NA,NA,,,22.64,9/29/2013 0:00
770,Living wage and percent of families with incomes below the living wage,2010,,,CO,6001,Alameda,Alameda,6001,Bay Area,1,Adult2_Children3,,,,NA,NA,NA,NA,,,27.67,9/29/2013 0:00
