user,transaction_date,sales_amount,join_date,region
665,1/2/13,31.77,2/8/11,E
598,1/2/13,6.2,7/30/09,I
26,1/2/13,35.03,6/18/03,B
1358,1/2/13,32.73,1/2/13,K
671,1/2/13,3.64,5/27/08,E
498,1/2/13,11.98,3/5/03,D
4,1/2/13,73.91,7/28/11,B
651,1/2/13,4.05,6/13/11,H
1648,1/2/13,20.09,11/25/09,B
1941,1/2/13,41.74,5/8/11,M
1272,1/2/13,25.12,10/27/12,B
2383,1/2/13,4.13,1/2/13,E
2608,1/2/13,54.38,8/7/12,M
2065,1/2/13,138.97,7/1/13,S
1966,1/2/13,20.01,7/1/13,I
3207,1/2/13,58.26,9/2/13,I
4371,1/2/13,29.72,11/4/13,S
5590,1/2/13,116.2,9/2/13,C
5235,1/2/13,114.78,11/12/14,G
7834,1/2/13,6.94,1/2/13,C
7196,1/2/13,11.3,9/12/08,F
9564,1/2/13,63.63,1/2/13,I
163,1/3/13,18.6,9/21/12,B
307,1/3/13,17.28,8/20/99,B
173,1/3/13,30.91,6/5/07,C
901,1/3/13,57.92,2/23/10,M
987,1/3/13,84.73,6/8/04,B
309,1/3/13,19.38,2/4/12,B
28,1/3/13,37.9,4/16/11,J
459,1/3/13,8.26,10/22/12,B
19,1/3/13,34,6/6/02,C
1499,1/3/13,31.36,7/11/12,E
4,1/3/13,30.12,7/28/11,B
1470,1/3/13,20.74,10/15/12,D
1873,1/3/13,23.43,12/22/14,I
1459,1/3/13,23.82,10/19/11,I
1249,1/3/13,1.86,1/3/13,O
1249,1/3/13,5.61,1/3/13,O
1417,1/3/13,22.73,3/2/07,B
922,1/3/13,50,7/10/12,J
5366,1/3/13,10.33,11/10/14,E
4838,1/3/13,48.72,11/4/13,G
4443,1/3/13,12.38,8/21/13,F
5134,1/3/13,0.42,11/4/13,A
4681,1/3/13,42.4,8/1/13,E
4443,1/3/13,23.55,8/21/13,F
2347,1/3/13,215.7,7/25/13,L
4001,1/3/13,19.53,7/2/13,A
5624,1/3/13,39.05,5/8/12,C
3926,1/3/13,13.96,7/2/13,S
7455,1/3/13,17.67,2/10/14,I
7952,1/3/13,95.35,5/8/07,S
7448,1/3/13,63.54,7/13/04,E
8276,1/3/13,71.9,3/27/07,B
6328,1/3/13,42.48,3/30/11,S
6987,1/3/13,18.18,1/23/09,F
6890,1/3/13,6.86,5/16/12,L
305,1/4/13,11.79,1/1/01,B
305,1/4/13,54.68,1/1/01,B
264,1/4/13,24.87,6/17/04,B
96,1/4/13,2.77,1/11/08,M
769,1/4/13,2.85,5/31/10,B
488,1/4/13,11.36,9/12/10,N
253,1/4/13,39.42,8/1/09,B
1396,1/4/13,18.07,1/5/09,I
1462,1/4/13,21.58,2/2/11,I
1575,1/4/13,12.31,1/4/13,N
100,1/4/13,54.33,9/26/10,E
658,1/4/13,154.25,11/29/10,I
1230,1/4/13,36.08,1/4/13,C
4,1/4/13,41.32,7/28/11,B
1580,1/4/13,47.23,11/11/14,P
1876,1/4/13,11.52,7/1/13,C
2705,1/4/13,3.95,7/1/13,C
4366,1/4/13,26.34,8/21/13,G
5252,1/4/13,10.49,9/17/13,O
3487,1/4/13,19,7/2/13,B
4369,1/4/13,55.98,11/4/13,E
6208,1/4/13,10.88,6/23/12,E
7196,1/4/13,15.69,9/12/08,F
6908,1/4/13,11.82,12/18/13,H
5944,1/4/13,23.71,1/9/14,D
7465,1/4/13,4.95,7/14/03,S
8738,1/4/13,79.84,3/24/11,D
9022,1/4/13,33.45,1/4/13,C
6208,1/4/13,47.65,6/23/12,E
9769,1/4/13,21.4,3/14/06,S
212,1/5/13,14.38,12/7/03,C
19,1/5/13,11.94,6/6/02,C
432,1/5/13,25.62,3/12/10,H
291,1/5/13,11.98,3/10/07,B
52,1/5/13,10.08,9/29/04,B
138,1/5/13,121.94,8/19/03,H
128,1/5/13,18.1,1/1/01,B
99,1/5/13,4.13,12/12/10,B
577,1/5/13,17.45,6/29/09,C
292,1/5/13,5.16,1/3/07,E
316,1/5/13,31.36,8/22/07,B
141,1/5/13,40.45,1/19/09,M
694,1/5/13,37.19,1/5/12,C
1251,1/5/13,88.35,10/17/09,A
1192,1/5/13,70.93,7/19/09,M
1357,1/5/13,47.11,7/1/09,B
703,1/5/13,15.7,5/2/11,M
1515,1/5/13,28.06,4/2/11,B
545,1/5/13,66.36,12/16/09,M
1889,1/5/13,16.2,1/5/13,H
